3,2,
43,1,
95,1,2,
67,1,2,3,
7,1,3,
21,1,3,2,
57,2,
87,2,1,
116,2,1,3,
33,2,3,
79,2,3,1,
20,3,
3,3,1,
19,3,1,2,
36,3,2,
56,3,2,1,
"Grant Fulton","Independent (Ind)",
"John Graham Mitchell","Scottish National Party (SNP)",
"Ward 4 Na Hearadh",
